Timestamp,CUSIP,Bid1,BidSize1,Ask1,AskSize1,Bid2,BidSize2,Ask2,AskSize2,Bid3,BidSize3,Ask3,AskSize3,Bid4,BidSize4,Ask4,AskSize4,Bid5,BidSize5,Ask5,AskSize5
2023-12-24-20:29:30.965,9128283H1,98-317,1000000,99-001,1000000,98-316,2000000,99-002,2000000,98-315,3000000,99-003,3000000,98-31+,4000000,99-00+,4000000,98-313,5000000,99-005,5000000
2023-12-24-20:29:30.981,9128283H1,98-317,1000000,99-003,1000000,98-315,2000000,99-005,2000000,98-313,3000000,99-007,3000000,98-311,4000000,99-011,4000000,98-307,5000000,99-013,5000000
2023-12-24-20:29:30.998,9128283H1,98-317,1000000,99-005,1000000,98-31+,2000000,99-010,2000000,98-311,3000000,99-013,3000000,98-306,4000000,99-016,4000000,98-303,5000000,99-021,5000000
2023-12-24-20:29:31.018,9128283H1,98-317,1000000,99-007,1000000,98-313,2000000,99-013,2000000,98-307,3000000,99-017,3000000,98-303,4000000,99-023,4000000,98-297,5000000,99-027,5000000
2023-12-24-20:29:31.027,9128283H1,99-001,1000000,99-007,1000000,98-316,2000000,99-012,2000000,98-313,3000000,99-015,3000000,98-310,4000000,99-020,4000000,98-305,5000000,99-023,5000000
2023-12-24-20:29:31.032,9128283H1,99-003,1000000,99-007,1000000,99-001,2000000,99-011,2000000,98-317,3000000,99-013,3000000,98-315,4000000,99-015,4000000,98-313,5000000,99-017,5000000
2023-12-24-20:29:31.045,9128283H1,99-005,1000000,99-007,1000000,99-00+,2000000,99-010,2000000,99-003,3000000,99-011,3000000,99-002,4000000,99-012,4000000,99-001,5000000,99-013,5000000
2023-12-24-20:29:31.060,9128283H1,99-005,1000000,99-011,1000000,99-003,2000000,99-013,2000000,99-001,3000000,99-015,3000000,98-317,4000000,99-017,4000000,98-315,5000000,99-021,5000000
2023-12-24-20:29:31.063,9128283H1,99-005,1000000,99-013,1000000,99-002,2000000,99-016,2000000,98-317,3000000,99-021,3000000,98-31+,4000000,99-02+,4000000,98-311,5000000,99-027,5000000
2023-12-24-20:29:31.066,9128283H1,99-005,1000000,99-015,1000000,99-001,2000000,99-021,2000000,98-315,3000000,99-025,3000000,98-311,4000000,99-031,4000000,98-305,5000000,99-035,5000000
2023-12-24-20:29:31.080,9128283H1,99-007,1000000,99-015,1000000,99-00+,2000000,99-020,2000000,99-001,3000000,99-023,3000000,98-316,4000000,99-026,4000000,98-313,5000000,99-031,5000000
2023-12-24-20:29:31.099,9128283H1,99-011,1000000,99-015,1000000,99-007,2000000,99-017,2000000,99-005,3000000,99-021,3000000,99-003,4000000,99-023,4000000,99-001,5000000,99-025,5000000
2023-12-24-20:29:31.105,9128283H1,99-013,1000000,99-015,1000000,99-012,2000000,99-016,2000000,99-011,3000000,99-017,3000000,99-010,4000000,99-020,4000000,99-007,5000000,99-021,5000000
2023-12-24-20:29:31.124,9128283H1,99-013,1000000,99-017,1000000,99-011,2000000,99-021,2000000,99-007,3000000,99-023,3000000,99-005,4000000,99-025,4000000,99-003,5000000,99-027,5000000
2023-12-24-20:29:31.143,9128283H1,99-013,1000000,99-021,1000000,99-010,2000000,99-02+,2000000,99-005,3000000,99-027,3000000,99-002,4000000,99-032,4000000,98-317,5000000,99-035,5000000
2023-12-24-20:29:31.150,9128283H1,99-013,1000000,99-023,1000000,99-007,2000000,99-027,2000000,99-003,3000000,99-033,3000000,98-317,4000000,99-037,4000000,98-313,5000000,99-043,5000000
2023-12-24-20:29:31.158,9128283H1,99-015,1000000,99-023,1000000,99-012,2000000,99-026,2000000,99-007,3000000,99-031,3000000,99-00+,4000000,99-03+,4000000,99-001,5000000,99-037,5000000
2023-12-24-20:29:31.159,9128283H1,99-017,1000000,99-023,1000000,99-015,2000000,99-025,2000000,99-013,3000000,99-027,3000000,99-011,4000000,99-031,4000000,99-007,5000000,99-033,5000000
2023-12-24-20:29:31.164,9128283H1,99-021,1000000,99-023,1000000,99-020,2000000,99-02+,2000000,99-017,3000000,99-025,3000000,99-016,4000000,99-026,4000000,99-015,5000000,99-027,5000000
2023-12-24-20:29:31.174,9128283H1,99-021,1000000,99-025,1000000,99-017,2000000,99-027,2000000,99-015,3000000,99-031,3000000,99-013,4000000,99-033,4000000,99-011,5000000,99-035,5000000
2023-12-24-20:29:31.175,9128283H1,99-021,1000000,99-027,1000000,99-016,2000000,99-032,2000000,99-013,3000000,99-035,3000000,99-010,4000000,99-040,4000000,99-005,5000000,99-043,5000000
2023-12-24-20:29:31.179,9128283H1,99-021,1000000,99-031,1000000,99-015,2000000,99-035,2000000,99-011,3000000,99-041,3000000,99-005,4000000,99-045,4000000,99-001,5000000,99-051,5000000
2023-12-24-20:29:31.195,9128283H1,99-023,1000000,99-031,1000000,99-020,2000000,99-03+,2000000,99-015,3000000,99-037,3000000,99-012,4000000,99-042,4000000,99-007,5000000,99-045,5000000
2023-12-24-20:29:31.202,9128283H1,99-025,1000000,99-031,1000000,99-023,2000000,99-033,2000000,99-021,3000000,99-035,3000000,99-017,4000000,99-037,4000000,99-015,5000000,99-041,5000000
2023-12-24-20:29:31.203,9128283H1,99-027,1000000,99-031,1000000,99-026,2000000,99-032,2000000,99-025,3000000,99-033,3000000,99-02+,4000000,99-03+,4000000,99-023,5000000,99-035,5000000
2023-12-24-20:29:31.222,9128283H1,99-027,1000000,99-033,1000000,99-025,2000000,99-035,2000000,99-023,3000000,99-037,3000000,99-021,4000000,99-041,4000000,99-017,5000000,99-043,5000000
2023-12-24-20:29:31.225,9128283H1,99-027,1000000,99-035,1000000,99-02+,2000000,99-040,2000000,99-021,3000000,99-043,3000000,99-016,4000000,99-046,4000000,99-013,5000000,99-051,5000000
2023-12-24-20:29:31.243,9128283H1,99-027,1000000,99-037,1000000,99-023,2000000,99-043,2000000,99-017,3000000,99-047,3000000,99-013,4000000,99-053,4000000,99-007,5000000,99-057,5000000
2023-12-24-20:29:31.252,9128283H1,99-031,1000000,99-037,1000000,99-026,2000000,99-042,2000000,99-023,3000000,99-045,3000000,99-020,4000000,99-050,4000000,99-015,5000000,99-053,5000000
2023-12-24-20:29:31.256,9128283H1,99-033,1000000,99-037,1000000,99-031,2000000,99-041,2000000,99-027,3000000,99-043,3000000,99-025,4000000,99-045,4000000,99-023,5000000,99-047,5000000
2023-12-24-20:29:31.275,9128283H1,99-035,1000000,99-037,1000000,99-03+,2000000,99-040,2000000,99-033,3000000,99-041,3000000,99-032,4000000,99-042,4000000,99-031,5000000,99-043,5000000
2023-12-24-20:29:31.289,9128283H1,99-035,1000000,99-041,1000000,99-033,2000000,99-043,2000000,99-031,3000000,99-045,3000000,99-027,4000000,99-047,4000000,99-025,5000000,99-051,5000000
2023-12-24-20:29:31.309,9128283H1,99-035,1000000,99-043,1000000,99-032,2000000,99-046,2000000,99-027,3000000,99-051,3000000,99-02+,4000000,99-05+,4000000,99-021,5000000,99-057,5000000
2023-12-24-20:29:31.310,9128283H1,99-035,1000000,99-045,1000000,99-031,2000000,99-051,2000000,99-025,3000000,99-055,3000000,99-021,4000000,99-061,4000000,99-015,5000000,99-065,5000000
2023-12-24-20:29:31.319,9128283H1,99-037,1000000,99-045,1000000,99-03+,2000000,99-050,2000000,99-031,3000000,99-053,3000000,99-026,4000000,99-056,4000000,99-023,5000000,99-061,5000000
